1,3,0,-,1,1
2,1,,,,
3,2,1,0,0,-
4,3,-,1,1,1
5,1,,,,
6,1,,,,
7,2,1,9,1,0
8,2,0,0,0,-
9,1,,,,
10,1,,,,
11,1,,,,
12,3,0,-,1,0
13,1,,,,
14,2,0,-,0,0
15,1,,,,
16,1,,,,
17,1,,,,
18,1,,,,
19,1,,,,
20,2,1,-,0,1
21,1,,,,
22,2,1,-,1,0
23,2,-,0,0,1
24,1,,,,
25,1,,,,
26,1,,,,
27,1,,,,
28,1,,,,
29,2,1,-,1,0
30,3,0,-,0,0
31,2,0,-,-1,0
32,2,0,0,0,-
33,1,,,,
34,2,-1,-,1,1
35,1,,,,
36,2,0,0,0,-
37,1,,,,
38,1,,,,
39,2,-,1,1,1
40,2,-,0,0,1
41,2,0,-,1,0
42,2,0,0,1,-
43,2,1,1,0,-
44,2,0,-,0,1
45,2,1,-,1,0
46,2,-,0,0,0
47,2,0,1,-,0
48,2,0,-,0,0
49,3,1,0,0,-
50,3,-,0,0,1
51,3,-,0,1,0
52,3,-,0,0,1
53,2,0,0,-,0
54,2,1,0,-,0
55,3,0,0,-,0
56,3,0,0,-,1
57,3,1,0,-,1
58,3,0,-,0,1
59,3,0,0,-,0
60,3,-,1,1,0
61,3,1,1,-,1
62,3,0,1,-,1
63,3,-,1,1,1
64,3,1,0,0,-
65,3,0,0,-,0
66,3,1,1,0,-
67,3,-,1,0,0
68,3,1,1,-,0
69,3,-,0,0,0
70,3,0,-,0,0
71,3,-,0,1,0
72,3,0,0,0,-
73,1,,,,
74,1,,,,
75,3,0,-,1,0
76,3,0,1,-,0
77,3,0,0,-,1
78,3,1,0,-,1
79,3,0,1,-,0
80,2,0,0,0,-
81,3,-,0,0,0
82,3,1,0,-,1
83,3,0,0,-,0
84,3,0,-,0,1
85,3,0,1,0,-
86,3,0,-,0,0
87,1,,,,
88,2,0,-,0,0
89,3,0,-,0,0
90,3,0,-,0,0
91,2,-,0,0,0
92,2,0,0,-,0
93,3,-,0,0,0
94,3,0,1,-,0
95,3,-,0,0,0
96,3,0,0,0,-
97,3,0,-,0,0
98,3,-,0,1,0
99,3,1,1,1,-
100,3,1,-,0,0
101,3,1,-,1,1
102,3,1,-,1,1
103,3,1,-,0,0
104,3,0,1,-,1
105,3,0,0,-,0
106,2,-,1,0,1
107,1,,,,
108,2,-,0,1,0
109,1,,,,
110,1,,,,
111,2,-,0,0,0
112,2,1,-,1,0
113,2,0,0,0,-
114,2,1,0,-,0
115,1,,,,
116,2,-,1,0,0
117,1,,,,
118,2,0,-,1,0
119,1,,,,
120,3,0,-,1,0
121,2,-,0,0,0
122,1,,,,
123,1,,,,
124,2,0,1,1,-
125,2,0,-,0,1
126,2,1,-,1,0
127,2,1,1,1,-
128,2,1,-,0,0
129,3,1,1,1,-
130,2,1,1,-,0
131,2,0,0,-,1
132,2,0,1,0,-
133,2,1,-,0,1
134,2,1,1,1,-
135,1,,,,
136,2,1,-,1,0
137,1,,,,
138,1,-,0,0,1
139,1,,,,
