1,3,0,-,0,0
2,1,,,,
3,3,1,0,0,-
4,3,1,-,0,0
5,1,-,0,0,0
6,1,0,-,0,0
7,2,1,0,0,-
8,2,0,0,0,-
9,1,,,,
10,1,,,,
11,1,,,,
12,3,0,-,0,0
13,2,0,-1,-,-1
14,2,1,-,0,-1
15,1,,,,
16,1,,,,
17,1,,,,
18,1,,,,
19,1,,,,
20,2,1,-,0,1
21,1,,,,
22,3,1,-,1,1
23,2,-,0,0,0
24,1,,,,
25,1,,,,
26,1,,,,
27,1,,,,
28,1,,,,
29,1,,,,
30,1,,,,
31,2,0,-,-1,0
32,1,,,,
33,1,,,,
34,1,,,,
35,1,,,,
36,2,0,0,0,-
37,1,1,0,0,-
38,2,0,0,0,-
39,3,-,0,0,0
40,3,-,0,0,0
41,3,0,-,1,0
42,3,0,0,0,-
43,3,1,0,1,-
44,3,0,-,0,0
45,3,1,0,1,-
46,2,-,0,0,0
47,3,0,0,-,0
48,3,0,-,0,0
49,1,,,,
50,2,-,0,0,0
51,2,-,0,1,0
52,3,-,1,1,1
53,1,,,,
54,1,,,,
55,2,0,0,-,0
56,2,0,0,-,1
57,3,1,0,-,1
58,3,0,-,0,0
59,1,,,,
60,2,-,0,0,0
61,3,0,0,-,1
62,2,0,1,-,1
63,2,-,0,1,0
64,2,1,0,0,-
65,3,0,0,-,0
66,2,0,1,0,-
67,2,-,0,0,0
68,2,0,0,-,0
69,2,-,0,0,0
70,2,0,-,0,0
71,2,-,0,0,0
72,1,,,,
73,2,0,1,-,0
74,2,0,0,-,0
75,1,,,,
76,1,,,,
77,2,0,0,-,0
78,1,,,,
79,2,0,0,-,0
80,3,0,0,0,-
81,1,,,,
82,1,,,,
83,2,0,0,-,0
84,3,0,-,0,0
85,2,0,1,0,-
86,2,0,-,0,1
87,1,,,,
88,1,,,,
89,3,0,-,0,1
90,3,0,-,0,0
91,3,-,0,0,0
92,3,0,0,-,0
93,2,-,0,0,0
94,3,0,0,-,0
95,2,-,0,0,0
96,2,0,0,0,-
97,2,0,-,0,0
98,3,-,0,1,0
99,2,1,0,1,-
100,2,0,-,0,0
101,3,0,-,0,0
102,2,0,-,0,0
103,2,0,-,0,0
104,2,0,0,-,0
105,2,0,1,-,0
106,2,-,0,0,0
107,1,,,,
108,2,-,0,0,0
109,2,1,0,-,0
110,2,0,0,-,0
111,2,-,0,1,0
112,2,0,-,0,0
113,2,0,0,0,-
114,2,0,0,-,0
115,1,,,,
116,1,,,,
117,1,,,,
118,2,0,-,1,0
119,1,,,,
120,2,0,-,1,0
121,1,,,,
122,2,0,0,-,0
123,2,-,0,0,0
124,2,0,0,0,-
125,2,0,-,0,0
126,2,1,-,0,0
127,2,0,1,0,-
128,2,0,-,0,0
129,1,,,,
130,2,1,1,-,0
131,3,0,0,-,0
132,3,0,0,0,-
133,2,1,-,1,0
134,2,1,1,1,-
135,2,-,0,1,0
136,2,0,-,0,0
137,2,0,0,0,-
138,2,-,0,0,0
139,2,-,0,0,0
