1,1,,,,
2,1,,,,
3,3,1,0,0,-
4,3,-,1,1,1
5,1,,,,
6,1,,,,
7,1,,,,
8,2,0,0,0,-
9,1,,,,
10,1,,,,
11,1,,,,
12,3,0,-,0,0
13,1,,,,
14,1,,,,
15,1,,,,
16,2,-,0,0,0
17,3,1,-,1,1
18,1,,,,
19,1,,,,
20,1,,,,
21,2,0,1,0,-
22,2,1,-,1,1
23,2,-,0,0,1
24,1,,,,
25,1,,,,
26,1,,,,
27,1,,,,
28,2,0,0,0,-
29,3,1,-,1,1
30,3,0,-,0,0
31,3,0,-,1,0
32,2,0,0,0,-
33,1,,,,
34,2,1,-,0,0
35,1,,,,
36,2,0,1,0,-
37,2,1,0,0,-
38,2,0,0,0,-
39,2,-,1,0,0
40,3,-,1,0,1
41,2,0,-,1,0
42,3,1,0,1,-
43,3,-1,0,1,-
44,2,0,-,0,1
45,2,0,-,1,0
46,1,,,,
47,3,0,1,-,1
48,2,0,-,0,0
49,3,-1,1,0,-
50,2,-,0,1,0
51,2,-,1,-1,0
52,3,-,1,1,-1
53,2,0,0,-,0
54,2,1,0,-,0
55,2,0,0,-,1
56,3,1,0,-,1
57,2,-1,1,-,0
58,2,0,-,0,1
59,2,0,0,-,0
60,1,,,,
61,2,1,0,-,1
62,3,0,1,-,1
63,3,-,1,1,1
64,2,1,0,0,-
65,2,0,0,-,1
66,3,1,1,1,-
67,3,-,1,1,0
68,3,1,1,-,0
69,2,-,0,0,0
70,3,1,-,1,0
71,1,,,,
72,1,,,,
73,2,0,1,-,0
74,2,0,0,-,0
75,1,,,,
76,1,,,,
77,1,,,,
78,1,,,,
79,2,-1,0,-,1
80,3,0,0,0,-
81,1,,,,
82,2,1,0,-,-1
83,1,,,,
84,1,,,,
85,1,,,,
86,1,,,,
87,2,0,-,0,0
88,1,,,,
89,2,0,-,0,0
90,1,,,,
91,2,-,0,1,1
92,3,0,0,-,0
93,1,,,,
94,3,-1,1,-,0
95,1,,,,
96,1,,,,
97,1,,,,
98,2,-,0,0,0
99,1,,,,
100,1,,,,
101,3,1,-,0,-1
102,2,1,-,1,0
103,1,,,,
104,2,0,1,-,1
105,1,,,,
106,2,-,0,0,0
107,2,0,0,-,0
108,2,-,0,0,0
109,3,0,0,-,0
110,2,0,0,-,0
111,2,-,0,0,0
112,1,,,,
113,3,0,0,0,-
114,2,0,0,-,0
115,2,-,0,0,0
116,2,-,0,0,0
117,3,0,-,0,0
118,2,0,-,0,0
119,2,0,-,0,0
120,3,0,-,0,0
121,2,-,0,0,0
122,3,0,0,-,0
123,2,-,0,1,1
124,2,0,1,1,-
125,2,0,-,0,1
126,3,0,-,0,0
127,3,0,0,1,-
128,2,1,-,0,0
129,3,1,1,1,-
130,2,0,0,-,0
131,2,0,1,-,1
132,3,0,0,0,-
133,3,1,-,1,1
134,3,1,1,0,-
135,3,-,0,1,0
136,2,0,-,0,0
137,2,0,0,0,-
138,3,-,0,0,0
139,2,-,0,0,0
