คำไทย,POS,คำแปล,sense
ท้องฟ้า,NCMN,sky,1
ตาเปล่า,,,
ดวงอาทิตย์,NPRP,sun,1
โรเตอร์,NCMN,rotor,3
เครื่องบิน,NPRP,plane,1
